FounderExperience,TeamSize,FundingAmount,MarketSize,InnovationScore,MarketingBudget,CompetitionLevel,IndustryType,FounderEducation,ProductStage,RevenueGrowth,StartupSuccess
2,53,34.53,2,7,1.08,3,EdTech,Masters,Growth,-3.77,1
8,29,34.54,6,7,0.15,2,HealthTech,MBA,MVP,81.65,1
4,26,46.54,7,2,4.97,10,AgriTech,Bachelors,Idea,-5.03,0
23,25,24.92,7,10,13.64,9,EdTech,PhD,Prototype,61.86,1
16,12,11.59,9,3,2.51,1,EdTech,MBA,Prototype,24.55,1
13,5,2.32,6,10,2.36,2,HealthTech,Bachelors,MVP,11.13,1
20,34,20.84,8,9,8.28,8,HealthTech,PhD,Prototype,63.38,1
2,48,15.17,6,3,12.99,7,AI,MBA,Prototype,53.2,1
0,37,38.08,2,2,14.27,1,SaaS,Masters,Idea,24.68,0
19,15,17.78,1,9,3.65,5,AI,MBA,Growth,46.43,1
20,44,47.46,5,10,1.68,10,EdTech,Masters,Growth,17.09,0
22,36,48.12,9,9,18.81,6,AI,MBA,MVP,85.01,1
0,15,31.08,8,4,5.29,5,EdTech,PhD,Growth,24.52,0
2,43,46.44,4,9,17.08,4,FinTech,Masters,Growth,16.97,0
17,48,38.07,5,3,17.28,1,EdTech,Masters,MVP,72.7,1
24,23,27.39,5,7,15.47,7,EdTech,MBA,MVP,-8.06,0
9,6,9.1,6,7,3.46,9,AI,Bachelors,Growth,19.48,1
21,46,22.98,3,8,16.45,6,SaaS,Masters,Idea,31.29,1
2,50,28.09,5,10,15.41,3,FinTech,MBA,MVP,87.05,1
7,44,43.21,2,4,11.97,10,Ecommerce,PhD,Prototype,94.55,0
13,59,24.12,10,3,6.81,4,Ecommerce,MBA,MVP,68.81,0
23,43,44.89,1,3,5.32,10,SaaS,MBA,Prototype,44.18,1
17,45,33.75,1,5,2.53,5,Ecommerce,Masters,MVP,60.47,1
14,21,6.94,10,1,10.24,1,FinTech,Bachelors,MVP,35.54,1
21,23,49.75,7,10,11.75,5,HealthTech,PhD,Growth,22.87,0
22,43,26.41,2,3,7.25,1,FinTech,Masters,Growth,94.58,0
1,55,19.65,4,6,9.56,9,AI,Masters,Growth,2.69,1
9,16,32.99,5,3,7.33,7,AgriTech,Masters,Idea,28.1,0
1,47,5.53,7,5,12.86,3,EdTech,PhD,Growth,88.9,1
16,53,31.86,2,9,18.04,9,EdTech,Bachelors,Growth,69.55,1
7,15,24.96,6,2,3.36,2,AI,PhD,MVP,-6.8,1
0,25,20.39,1,2,7.69,7,AI,PhD,MVP,-7.46,0
8,36,47.66,7,6,2.9,9,AgriTech,Bachelors,Idea,46.82,1
10,11,26.17,9,6,12.54,6,AgriTech,PhD,Prototype,43.27,1
21,51,11.03,5,8,14.6,10,EdTech,MBA,MVP,38.73,1
15,15,23.0,5,2,18.65,5,AgriTech,PhD,MVP,23.26,0
6,4,45.98,4,9,5.65,7,AgriTech,Masters,Prototype,98.53,0
9,21,8.89,3,2,19.01,6,AgriTech,PhD,Idea,19.92,0
22,13,10.78,9,1,1.36,5,SaaS,Masters,MVP,43.9,0
2,22,0.75,5,10,12.1,2,HealthTech,PhD,Growth,34.54,1
17,19,0.81,8,2,1.24,8,AgriTech,Masters,Idea,8.73,0
24,34,41.49,9,7,17.89,7,HealthTech,Masters,Prototype,12.29,1
23,14,36.63,5,8,10.64,6,HealthTech,Masters,Prototype,91.01,0
12,4,17.82,10,5,13.42,5,AI,Bachelors,Growth,84.41,1
6,48,34.95,9,6,16.65,5,AgriTech,PhD,Growth,11.89,1
24,53,19.82,2,1,3.09,9,EdTech,PhD,Growth,86.32,1
3,52,47.65,9,6,0.87,1,SaaS,MBA,Idea,13.01,1
12,46,48.36,4,8,17.59,9,EdTech,MBA,Prototype,58.92,0
19,27,19.7,6,3,6.37,6,AgriTech,MBA,Growth,-1.06,1
0,29,42.73,6,1,2.67,4,EdTech,PhD,Growth,86.84,0
7,47,38.68,6,4,9.42,10,AgriTech,Bachelors,Prototype,-4.33,0
13,28,15.57,2,1,12.01,7,SaaS,Masters,MVP,51.04,0
15,35,11.68,7,8,0.72,9,FinTech,PhD,Idea,75.77,0
13,8,22.97,6,5,5.57,5,SaaS,Bachelors,MVP,2.85,1
11,16,39.09,1,1,0.75,5,FinTech,Bachelors,Growth,34.49,0
18,42,48.01,2,8,8.46,8,Ecommerce,PhD,Idea,-5.39,1
22,36,38.2,7,9,17.91,7,FinTech,Masters,MVP,65.1,0
14,30,42.77,1,10,19.65,8,HealthTech,Bachelors,Prototype,23.82,0
1,18,30.19,1,2,12.78,10,HealthTech,PhD,Growth,51.53,1
1,2,41.79,1,9,3.32,2,SaaS,Masters,Idea,92.6,1
22,49,39.24,8,8,18.13,9,HealthTech,MBA,Idea,23.64,1
21,13,18.91,4,7,10.37,3,HealthTech,Bachelors,Idea,-4.65,0
18,4,27.64,4,3,3.16,6,Ecommerce,Bachelors,Idea,64.32,0
24,26,40.26,2,2,18.44,6,HealthTech,PhD,Growth,76.55,1
21,25,2.4,1,7,15.17,2,AI,PhD,Growth,95.37,1
21,30,40.42,10,5,14.66,7,AI,Masters,Prototype,7.36,1
16,11,8.98,9,6,14.21,9,AI,MBA,Prototype,33.14,1
19,7,25.78,7,4,4.09,10,FinTech,MBA,Prototype,82.86,1
9,31,40.43,4,2,4.3,1,SaaS,PhD,MVP,78.76,1
5,44,12.77,6,9,13.8,8,SaaS,PhD,Prototype,58.73,1
14,10,12.37,2,3,4.47,2,EdTech,Masters,Growth,19.63,1
21,39,20.2,7,7,8.83,1,Ecommerce,PhD,MVP,21.24,1
10,13,44.74,2,8,15.66,8,AI,Masters,Growth,3.64,0
4,31,0.12,10,2,15.7,2,AI,Masters,MVP,91.4,1
0,7,45.08,8,6,9.12,6,HealthTech,MBA,Prototype,9.02,1
7,56,7.77,8,8,15.86,6,AI,Masters,Prototype,53.02,1
20,49,49.51,1,7,16.79,5,HealthTech,MBA,Prototype,54.28,1
11,42,47.75,8,3,13.13,8,HealthTech,MBA,MVP,30.66,1
11,42,24.78,2,1,4.65,3,EdTech,MBA,Growth,28.78,1
4,56,25.68,6,6,5.55,10,FinTech,PhD,Idea,63.54,0
6,36,24.13,1,8,6.37,4,HealthTech,MBA,Growth,32.71,0
3,20,31.81,5,6,2.42,7,HealthTech,Masters,Prototype,18.06,1
5,4,4.63,7,5,5.54,7,SaaS,PhD,MVP,33.9,0
12,54,1.73,10,8,4.27,8,EdTech,Masters,MVP,78.84,1
19,7,2.98,1,2,9.16,2,HealthTech,PhD,Prototype,96.31,1
14,54,22.27,2,1,18.18,2,Ecommerce,Masters,MVP,59.95,0
2,1,13.85,7,1,2.18,4,FinTech,Bachelors,Prototype,76.03,0
22,44,31.14,6,4,14.43,10,Ecommerce,Bachelors,Growth,48.61,1
7,56,49.62,3,6,13.78,9,AI,Bachelors,MVP,58.73,1
19,45,19.38,10,9,2.01,10,FinTech,Masters,Idea,98.69,0
15,42,28.73,2,1,18.46,9,AI,PhD,MVP,38.23,1
12,47,20.84,10,1,11.41,4,SaaS,MBA,Prototype,-2.71,1
17,59,42.38,4,5,7.34,9,AgriTech,MBA,Idea,95.27,1
9,13,45.12,3,10,15.16,3,AgriTech,Masters,Prototype,77.24,1
18,55,43.88,7,5,5.22,5,AgriTech,Masters,MVP,33.81,0
16,22,48.72,8,5,13.9,10,HealthTech,Masters,Idea,98.06,1
23,54,1.47,2,10,0.89,9,EdTech,Masters,Idea,28.01,1
18,21,42.01,10,6,16.8,6,Ecommerce,MBA,MVP,30.93,1
22,22,37.61,7,8,9.02,3,AI,PhD,Idea,57.07,0
4,28,11.51,8,3,12.77,10,HealthTech,MBA,Growth,20.18,1
20,9,47.82,6,9,4.5,9,AgriTech,Masters,Idea,66.84,0
22,26,7.49,6,1,13.57,6,Ecommerce,Bachelors,Idea,6.81,0
8,9,34.01,10,4,15.47,4,Ecommerce,MBA,Growth,1.88,0
11,15,11.32,1,9,9.52,4,SaaS,Bachelors,Prototype,48.84,1
20,10,21.63,4,8,12.39,8,SaaS,Bachelors,Prototype,51.1,1
0,24,35.99,1,10,9.18,7,AgriTech,Masters,Growth,1.73,0
0,58,28.21,4,9,17.89,1,AI,MBA,Idea,96.06,0
14,57,21.43,2,1,10.01,6,AgriTech,PhD,MVP,53.06,1
1,42,16.38,5,9,16.85,8,AgriTech,MBA,Growth,6.61,1
21,8,42.0,10,3,16.05,3,HealthTech,PhD,MVP,24.26,1
15,24,7.28,9,10,8.27,9,EdTech,PhD,Prototype,78.03,1
24,16,21.56,10,9,4.68,10,AgriTech,Masters,Growth,47.56,0
7,49,45.2,3,1,8.18,2,AI,PhD,MVP,10.7,1
12,26,42.31,8,1,16.54,6,Ecommerce,MBA,Idea,1.31,0
20,27,20.11,3,9,4.63,1,Ecommerce,MBA,Growth,37.39,1
0,37,38.18,6,6,10.54,2,FinTech,Bachelors,MVP,27.12,0
15,4,41.18,4,4,16.14,5,AgriTech,PhD,Growth,62.15,1
6,50,44.46,8,7,7.13,1,HealthTech,Masters,Growth,91.78,1
4,24,27.27,6,5,12.88,8,FinTech,Masters,Prototype,17.25,1
21,19,10.3,8,10,4.99,1,SaaS,MBA,Prototype,84.08,0
22,36,12.84,1,7,2.27,9,EdTech,PhD,Idea,91.25,1
2,39,14.86,6,8,15.91,10,AI,Masters,Prototype,89.22,1
11,10,29.73,1,8,2.07,3,AgriTech,PhD,Prototype,94.73,0
15,25,1.74,1,1,5.5,2,Ecommerce,PhD,Prototype,82.63,0
18,18,31.84,8,8,17.12,1,HealthTech,Bachelors,MVP,55.28,1
4,19,18.28,7,6,6.99,9,Ecommerce,Masters,Growth,35.08,1
21,36,14.83,3,4,19.46,4,AgriTech,Bachelors,Prototype,44.09,1
24,10,43.99,6,8,19.6,1,SaaS,Masters,MVP,85.99,1
13,33,23.05,9,3,5.44,1,FinTech,PhD,Growth,23.15,1
4,55,4.84,7,4,0.92,7,AgriTech,Masters,Prototype,7.52,1
14,50,41.35,3,6,14.13,2,FinTech,MBA,Prototype,5.49,1
16,5,2.48,6,7,9.07,7,AI,PhD,Growth,80.97,0
13,47,36.36,4,4,2.1,7,HealthTech,Masters,MVP,73.76,1
19,49,38.72,3,4,14.18,10,SaaS,Bachelors,MVP,44.74,0
4,35,17.69,9,7,0.72,9,HealthTech,Bachelors,Idea,20.24,0
11,44,41.26,10,6,17.42,7,AI,PhD,Growth,64.54,1
15,34,25.83,2,8,2.86,1,SaaS,Bachelors,Idea,-5.77,0
15,33,23.22,1,1,2.63,8,SaaS,PhD,MVP,52.51,1
20,55,2.37,2,10,3.6,8,FinTech,PhD,Prototype,33.83,1
6,21,14.57,7,7,19.21,4,FinTech,PhD,Idea,97.56,0
3,17,46.56,10,7,13.89,8,FinTech,Masters,MVP,45.83,1
0,22,19.65,1,7,16.05,4,Ecommerce,PhD,MVP,50.75,0
4,48,27.38,6,7,8.01,8,EdTech,Bachelors,Prototype,68.36,0
22,37,26.65,7,10,6.79,5,AgriTech,MBA,Growth,43.3,1
9,15,29.56,9,10,4.77,4,FinTech,Masters,MVP,14.7,1
21,35,3.16,8,8,9.66,6,EdTech,Bachelors,Idea,49.1,1
4,28,18.17,6,9,11.08,2,EdTech,PhD,Prototype,93.87,0
3,7,36.18,3,9,12.67,2,HealthTech,PhD,Growth,35.09,1
1,32,10.11,8,2,5.22,2,AI,MBA,Growth,64.76,0
19,11,10.26,7,7,18.98,9,Ecommerce,Bachelors,Growth,97.58,0
9,10,0.6,3,7,3.48,10,EdTech,Masters,MVP,81.29,1
18,9,21.93,9,4,19.32,3,AgriTech,Bachelors,Growth,62.49,1
0,14,44.15,2,9,0.4,10,Ecommerce,PhD,MVP,70.96,1
23,13,2.69,3,8,9.67,4,HealthTech,Masters,Prototype,93.01,0
4,57,9.64,2,1,6.73,10,FinTech,PhD,Prototype,95.57,0
12,25,15.57,1,2,9.04,8,SaaS,PhD,Growth,96.59,1
3,2,36.61,4,2,11.46,4,EdTech,Bachelors,Prototype,58.82,0
15,35,32.07,5,8,8.77,10,AI,MBA,Idea,32.32,1
23,7,20.86,6,1,8.36,10,SaaS,PhD,Idea,4.65,1
15,21,37.98,5,4,14.68,7,HealthTech,Bachelors,MVP,32.41,1
22,18,30.52,1,10,13.75,5,Ecommerce,Masters,Growth,93.73,1
1,3,44.81,3,5,16.68,9,AgriTech,MBA,MVP,87.88,1
16,42,40.92,1,9,5.07,4,FinTech,PhD,Prototype,47.6,1
19,54,12.72,5,7,12.23,3,Ecommerce,PhD,Growth,49.07,0
23,39,13.64,5,8,11.75,2,AI,Masters,MVP,23.98,1
11,41,6.36,6,9,7.46,1,EdTech,Bachelors,Growth,40.0,1
17,49,16.91,8,7,9.77,6,AI,PhD,Growth,68.59,1
2,11,49.98,10,5,6.34,10,Ecommerce,Masters,MVP,34.27,1
0,39,20.35,1,5,2.92,2,Ecommerce,PhD,Growth,10.68,1
0,24,11.1,4,10,4.35,8,SaaS,Bachelors,Prototype,49.49,0
18,46,38.15,10,6,2.2,6,AI,MBA,Idea,14.79,1
10,19,27.17,1,5,13.69,5,AI,Bachelors,Idea,97.17,1
4,4,7.57,9,9,13.25,2,AI,Bachelors,Growth,32.94,1
11,26,19.1,7,3,19.02,7,FinTech,Bachelors,Idea,90.06,1
2,38,20.78,7,3,14.62,2,AgriTech,Masters,Growth,14.81,1
0,42,37.72,5,7,1.14,5,Ecommerce,PhD,MVP,10.81,0
0,32,1.13,7,7,17.7,2,HealthTech,MBA,Prototype,57.86,1
7,39,13.52,2,6,17.27,10,FinTech,Masters,Idea,75.73,0
9,45,25.93,4,3,8.92,2,FinTech,Bachelors,MVP,52.34,1
10,46,13.52,7,7,11.76,7,FinTech,MBA,Prototype,15.28,1
11,36,31.46,3,5,19.52,9,SaaS,Bachelors,Idea,-5.83,0
12,40,24.15,2,7,10.69,5,AgriTech,Bachelors,Idea,58.01,1
11,37,18.15,10,2,18.12,7,AgriTech,Bachelors,Prototype,4.41,1
13,33,47.47,2,6,1.75,4,HealthTech,MBA,MVP,27.75,1
1,36,31.64,1,8,3.9,2,AI,PhD,MVP,64.34,0
18,3,6.58,5,1,8.87,3,SaaS,Bachelors,Idea,0.78,0
17,9,28.05,6,4,11.74,2,Ecommerce,PhD,Prototype,4.0,0
2,8,39.06,6,1,16.34,5,EdTech,MBA,MVP,-3.22,0
22,33,35.45,9,1,19.77,6,SaaS,MBA,Prototype,99.57,1
16,59,8.69,4,10,7.84,7,EdTech,Bachelors,Prototype,32.58,0
7,6,48.62,1,8,1.04,3,Ecommerce,PhD,Idea,89.64,1
9,41,22.5,6,7,16.04,4,HealthTech,PhD,Prototype,22.29,1
1,39,8.04,5,10,12.13,8,AgriTech,Bachelors,Prototype,72.85,0
18,4,9.09,10,1,4.05,4,EdTech,Masters,Growth,14.1,0
8,13,5.0,6,2,9.95,7,FinTech,Masters,Prototype,44.82,0
6,49,40.2,3,4,14.87,6,SaaS,MBA,MVP,80.71,1
3,2,6.19,2,1,15.43,7,EdTech,MBA,Idea,79.8,0
20,5,6.34,6,3,10.04,1,Ecommerce,Masters,Idea,77.37,0
17,44,42.54,1,8,6.17,3,AgriTech,Masters,Prototype,80.61,0
12,27,17.3,7,8,19.48,6,FinTech,Masters,Prototype,13.26,1
10,32,1.64,7,8,13.3,3,EdTech,Bachelors,MVP,43.04,1
23,21,2.69,10,6,8.22,7,AgriTech,Bachelors,Growth,43.34,1
3,8,7.19,7,6,5.68,9,Ecommerce,Bachelors,Idea,87.96,0
24,38,10.75,10,5,14.65,3,HealthTech,Bachelors,Growth,22.66,1
20,8,33.29,1,9,4.92,1,Ecommerce,Bachelors,MVP,92.46,0
24,50,7.95,4,4,3.52,10,HealthTech,Bachelors,Idea,39.59,1
3,3,6.03,7,10,10.64,6,AgriTech,MBA,MVP,63.68,0
9,54,38.26,9,7,5.87,1,AgriTech,PhD,Prototype,19.58,0
4,44,33.59,5,1,12.62,1,FinTech,MBA,MVP,35.13,0
8,58,21.82,2,9,2.45,8,Ecommerce,PhD,Prototype,68.08,1
23,3,27.51,7,7,13.13,9,AI,MBA,Growth,46.4,1
2,22,15.67,10,10,5.74,2,SaaS,MBA,Idea,92.38,1
16,6,24.18,1,9,0.1,9,AI,Bachelors,Idea,71.08,1
2,2,25.38,7,7,2.63,5,AI,Bachelors,Growth,52.08,1
15,23,19.42,6,2,18.68,8,AI,PhD,Prototype,87.53,0
3,44,45.34,7,6,17.36,7,SaaS,PhD,Idea,63.21,1
17,2,0.9,10,10,4.75,7,AI,Bachelors,MVP,61.21,0
16,38,39.13,3,4,15.59,4,HealthTech,MBA,Prototype,17.1,1
6,17,6.31,3,3,12.21,2,Ecommerce,PhD,Idea,33.43,0
23,35,39.9,7,2,19.42,5,AgriTech,Masters,MVP,65.16,1
22,34,30.83,2,6,7.53,3,FinTech,Masters,MVP,88.1,1
4,23,42.18,1,8,13.66,9,AI,Masters,Idea,24.71,1
11,30,4.97,9,6,1.36,6,AgriTech,PhD,Growth,13.7,0
16,52,27.99,9,9,7.99,1,AI,Bachelors,Growth,55.31,1
22,8,25.1,7,5,19.28,3,FinTech,Bachelors,Idea,-2.61,0
12,22,35.34,7,2,10.83,4,FinTech,Bachelors,MVP,68.6,1
22,44,26.76,3,8,5.83,9,AI,PhD,Growth,67.35,1
24,58,27.08,10,9,2.49,6,HealthTech,PhD,Growth,29.05,1
2,36,21.54,2,10,14.1,4,AgriTech,Masters,Growth,88.19,0
8,5,15.51,7,4,12.93,1,FinTech,PhD,Prototype,45.24,1
16,13,24.16,9,6,7.54,8,Ecommerce,Masters,Growth,61.03,0
16,29,6.01,1,10,19.02,2,AgriTech,Masters,Idea,13.05,1
19,31,48.08,4,8,0.54,8,Ecommerce,Bachelors,Idea,35.91,0
15,47,35.75,6,9,6.14,6,AgriTech,PhD,Prototype,84.87,1
24,57,47.63,7,5,18.43,8,HealthTech,Bachelors,Prototype,13.42,1
21,55,11.41,10,6,6.49,6,SaaS,Bachelors,Idea,32.96,1
12,16,43.98,7,4,5.12,5,EdTech,PhD,Prototype,24.99,0
18,42,40.46,10,5,10.73,5,HealthTech,PhD,Growth,6.62,0
16,30,33.89,2,7,16.49,10,AI,MBA,MVP,21.87,1
3,57,31.29,4,9,2.15,10,EdTech,Masters,MVP,15.6,0
11,55,15.9,5,10,18.87,8,AI,MBA,MVP,91.6,1
8,16,40.84,1,6,15.92,7,Ecommerce,Masters,Idea,71.52,0
18,12,25.13,1,6,3.71,8,FinTech,Masters,Prototype,24.77,1
11,17,3.64,10,8,14.27,8,AgriTech,Masters,MVP,73.97,1
8,16,15.71,3,4,7.76,7,AI,Bachelors,Growth,-7.56,1
6,12,46.77,10,3,8.11,2,Ecommerce,Bachelors,Growth,47.92,1
13,8,42.55,3,7,15.69,9,HealthTech,PhD,Growth,17.54,1
19,20,49.1,8,5,19.26,7,AI,Masters,Prototype,2.58,0
18,3,31.44,9,2,2.62,6,Ecommerce,Masters,MVP,87.21,1
14,16,12.45,1,2,8.47,9,FinTech,Masters,Growth,11.93,0
15,30,8.22,2,6,9.67,1,AgriTech,Bachelors,Prototype,80.46,0
20,45,9.43,10,8,7.59,2,AI,PhD,Growth,35.45,1
4,23,1.09,2,1,7.33,1,SaaS,Bachelors,MVP,-8.43,0
2,28,19.6,4,6,1.14,10,Ecommerce,MBA,MVP,70.58,0
11,51,9.65,2,2,13.74,3,AI,MBA,MVP,55.6,0
24,40,20.64,7,2,8.78,5,FinTech,MBA,MVP,27.86,0
19,54,46.76,9,7,3.98,1,AgriTech,PhD,MVP,20.97,1
20,5,21.58,7,10,16.34,4,AI,MBA,Growth,-1.89,1
3,20,43.91,6,1,16.07,8,AI,PhD,MVP,93.56,0
20,40,30.31,10,6,9.78,6,AgriTech,Bachelors,Growth,44.34,1
22,56,12.43,1,7,6.04,1,SaaS,Bachelors,MVP,-0.59,1
15,44,17.86,10,8,12.8,1,Ecommerce,PhD,Growth,85.55,1
24,1,4.29,9,7,5.83,3,EdTech,Bachelors,MVP,20.67,0
6,57,16.74,5,6,4.8,10,AgriTech,Bachelors,Growth,12.4,0
12,30,33.91,5,9,14.64,8,AI,PhD,MVP,20.9,1
20,21,3.7,6,3,0.9,8,EdTech,MBA,Prototype,52.1,0
9,20,10.35,9,6,1.99,3,HealthTech,PhD,Growth,-1.85,0
6,6,19.13,8,4,0.24,7,AI,Masters,Prototype,42.99,0
13,22,49.1,8,2,3.14,3,EdTech,Bachelors,Growth,88.53,1
4,18,39.26,8,1,1.47,4,HealthTech,PhD,Growth,10.7,0
2,8,36.7,1,1,19.92,9,SaaS,Bachelors,Growth,26.43,0
22,39,5.9,1,10,5.85,4,Ecommerce,MBA,Idea,33.57,0
10,32,39.07,8,3,3.07,3,AI,Bachelors,MVP,54.48,1
10,33,39.28,5,4,4.9,5,Ecommerce,PhD,Prototype,91.12,0
17,53,30.1,9,2,18.73,7,HealthTech,MBA,Prototype,33.4,1
14,16,49.52,2,1,10.45,5,Ecommerce,MBA,Growth,-2.39,1
11,12,16.33,9,4,7.36,4,Ecommerce,MBA,Prototype,28.27,0
8,38,47.07,8,7,17.48,8,AgriTech,Masters,Prototype,10.91,1
9,52,45.75,9,10,7.96,4,FinTech,PhD,Prototype,61.7,0
11,34,0.67,4,6,6.77,2,HealthTech,PhD,Prototype,-6.78,1
16,14,22.56,1,6,4.22,10,Ecommerce,MBA,Idea,22.11,0
5,36,48.86,1,9,7.62,6,EdTech,Bachelors,Growth,49.97,0
6,33,5.25,5,2,6.4,2,HealthTech,MBA,Prototype,20.51,1
13,23,27.43,2,4,13.58,3,FinTech,Masters,Idea,50.61,0
12,50,48.95,8,5,5.86,1,AI,MBA,Idea,2.62,1
7,45,27.82,10,1,11.59,5,SaaS,PhD,Growth,93.71,1
9,2,9.57,5,8,1.41,9,Ecommerce,MBA,MVP,22.0,0
8,41,29.15,5,8,3.91,2,EdTech,Bachelors,MVP,91.53,1
17,21,10.3,2,6,8.21,7,FinTech,PhD,MVP,25.84,1
1,2,26.03,7,5,18.75,5,HealthTech,Bachelors,Prototype,76.0,1
4,27,3.79,8,8,7.61,2,SaaS,MBA,Growth,17.08,1
4,57,30.31,10,3,13.32,8,SaaS,PhD,MVP,63.67,0
5,9,25.89,1,3,5.18,6,Ecommerce,Masters,Prototype,25.61,0
18,1,37.03,2,2,2.63,4,FinTech,PhD,Growth,46.01,1
7,11,31.57,10,5,1.26,4,FinTech,Bachelors,Prototype,64.12,0
15,3,27.53,4,3,6.18,2,EdTech,PhD,MVP,54.78,0
12,52,34.52,5,3,3.24,3,AI,Masters,MVP,53.39,0
0,23,7.28,2,6,3.56,7,AI,Masters,Idea,-2.78,0
21,26,29.81,1,8,15.24,3,AgriTech,Masters,Idea,17.4,0
19,4,8.69,9,2,0.42,5,AI,Masters,Growth,52.9,1
16,18,46.28,1,4,11.2,10,AgriTech,Bachelors,Prototype,-7.99,0
6,55,3.51,4,7,7.65,6,SaaS,PhD,Prototype,17.57,0
24,6,21.58,2,1,10.18,6,SaaS,MBA,MVP,15.21,1
12,35,34.82,4,1,11.3,4,HealthTech,Masters,MVP,17.48,1
3,22,22.96,8,10,6.34,6,SaaS,MBA,Growth,48.92,1
3,43,4.7,8,7,5.97,3,SaaS,MBA,Idea,54.02,1
5,15,27.71,9,7,14.69,7,FinTech,PhD,MVP,89.99,1
18,22,32.12,5,1,17.44,7,HealthTech,MBA,Prototype,32.46,0
11,37,35.22,7,1,3.93,4,FinTech,MBA,MVP,91.92,1
21,52,18.73,3,4,2.04,2,EdTech,Bachelors,Idea,61.71,1
6,42,28.23,10,5,17.97,7,AgriTech,MBA,Prototype,90.39,1
9,12,22.59,4,5,7.06,3,AgriTech,PhD,Idea,81.68,1
18,47,33.64,10,4,11.07,1,EdTech,MBA,Growth,65.63,1
6,49,29.22,9,8,7.25,2,AgriTech,PhD,Growth,29.17,1
2,42,26.34,10,7,2.6,10,HealthTech,Masters,Idea,16.52,1
12,38,12.55,10,9,11.83,9,HealthTech,MBA,Prototype,14.46,0
12,18,0.2,1,7,10.55,8,SaaS,MBA,Idea,94.74,1
17,45,8.79,2,10,4.14,6,AgriTech,MBA,MVP,95.44,0
19,35,5.94,5,1,9.09,6,EdTech,Masters,MVP,69.73,1
7,30,22.51,3,7,15.96,1,Ecommerce,Bachelors,Idea,87.22,0
8,24,30.65,2,1,11.85,2,AI,MBA,MVP,91.09,1
6,42,10.73,1,7,2.03,4,SaaS,PhD,Idea,46.27,0
0,30,46.96,10,10,11.01,3,AI,Bachelors,MVP,59.2,1
2,14,0.43,3,8,14.08,1,EdTech,Bachelors,Idea,36.06,0
12,6,38.64,1,9,15.87,8,AgriTech,Bachelors,MVP,36.03,0
24,3,31.3,1,3,12.62,7,AgriTech,MBA,Prototype,-5.77,0
16,16,18.74,1,4,3.14,4,AI,Masters,Prototype,37.72,0
24,7,2.62,8,4,14.23,9,Ecommerce,Masters,MVP,64.08,0
23,52,31.41,3,9,13.58,4,AgriTech,MBA,Idea,36.42,1
0,14,19.34,1,7,0.59,1,Ecommerce,PhD,MVP,85.97,1
5,9,46.82,7,3,8.29,10,FinTech,PhD,Growth,26.58,0
20,15,27.15,10,10,6.73,1,HealthTech,PhD,Growth,4.6,1
5,21,46.99,3,5,13.42,1,AI,MBA,Idea,79.27,1
11,35,11.1,8,7,4.4,1,AgriTech,Masters,MVP,64.13,1
12,2,36.31,4,8,11.86,4,Ecommerce,MBA,MVP,16.6,1
12,27,30.9,4,1,18.27,1,AgriTech,Masters,Prototype,49.01,0
14,2,37.0,5,2,15.98,2,HealthTech,Bachelors,Idea,34.2,0
20,35,10.81,6,7,18.44,4,HealthTech,MBA,Growth,93.27,1
15,18,33.28,7,2,19.57,7,FinTech,Masters,Growth,56.81,1
21,14,24.95,4,7,0.31,2,HealthTech,Bachelors,Idea,7.42,1
20,20,37.17,8,9,12.49,8,HealthTech,Bachelors,Growth,45.24,1
10,18,16.42,6,2,8.32,7,SaaS,MBA,Idea,84.88,1
4,10,44.51,1,7,17.21,9,EdTech,Masters,Growth,63.86,0
3,25,4.31,1,4,5.11,6,AgriTech,Bachelors,Growth,82.67,0
2,2,40.38,9,2,19.62,4,FinTech,MBA,Idea,17.54,0
18,25,43.08,10,7,12.31,6,FinTech,Bachelors,Idea,87.72,1
19,54,40.88,6,5,15.89,4,AI,PhD,Growth,73.12,1
24,33,25.69,10,1,1.8,7,HealthTech,MBA,Growth,70.18,1
17,36,21.98,8,5,3.75,9,AI,Bachelors,Prototype,28.12,1
14,31,49.81,7,3,15.19,3,SaaS,MBA,MVP,87.64,1
8,14,11.54,6,7,0.54,3,Ecommerce,MBA,Idea,60.18,0
16,1,27.39,4,6,16.36,2,HealthTech,Masters,Idea,83.7,1
13,46,33.57,7,8,0.38,1,Ecommerce,Masters,MVP,29.71,1
14,16,35.07,9,5,13.18,1,EdTech,Bachelors,Prototype,6.02,1
0,54,10.28,10,2,7.37,3,SaaS,MBA,Growth,26.56,0
20,46,32.73,10,9,12.27,7,HealthTech,MBA,Growth,40.08,1
21,52,40.94,7,8,13.95,9,AI,PhD,Prototype,48.67,1
21,3,2.6,1,6,6.92,2,AI,MBA,Prototype,46.19,1
2,35,45.58,10,10,2.25,7,HealthTech,Masters,MVP,50.07,1
15,41,1.57,9,7,1.49,1,AgriTech,MBA,MVP,82.59,0
22,6,17.86,4,9,11.82,2,AI,Masters,Growth,8.71,1
24,25,0.89,3,7,10.46,6,AgriTech,PhD,Prototype,24.77,1
10,13,3.95,4,3,14.87,5,HealthTech,Bachelors,Prototype,87.75,1
11,53,45.57,4,6,10.24,8,FinTech,Masters,Growth,51.65,1
9,34,17.81,10,7,8.51,2,AI,Bachelors,Growth,54.17,1
